REQUEST_URI|REQUEST_BODY,\%u[fF]{2}[0-9a-fA-F]{2}," msg:'Unicode Full/Half Width Abuse Attack Attempt',"," severity:'WARNING',"
ARGS,\%(?:(?!$|\W)|[0-9a-fA-F]{2}|u[0-9a-fA-F]{4})," msg:'Multiple URL Encoding Detected',"," severity:'WARNING',"
REQUEST_URI|REQUEST_HEADERS|ARGS|ARGS_NAMES,(?<!\Q\\\E)\Q\\\E[cdeghijklmpqwxyz123456789]," msg:'Abnormal character escapes in request',"," severity:'CRITICAL',"
REQUEST_URI_RAW|REQUEST_BODY|REQUEST_HEADERS|!REQUEST_HEADERS:Referer|XML:/*,(?i)(?:\x5c|(?:%(?:c(?:0%(?:[2aq]f|5c|9v)|1%(?:[19p]c|8s|af))|2(?:5(?:c(?:0%25af|1%259c)|2f|5c)|%46|f)|(?:(?:f(?:8%8)?0%8|e)0%80%a|bg%q)f|%3(?:2(?:%(?:%6|4)6|F)|5%%63)|u(?:221[56]|002f|EFC8|F025)|1u|5c)|0x(?:2f|5c)|\/))(?:%(?:(?:f(?:(?:c%80|8)%8)?0%8|e)0%80%ae|2(?:(?:5(?:c0%25a|2))?e|%45)|u(?:(?:002|ff0)e|2024)|%32(?:%(?:%6|4)5|E)|c0(?:%[256aef]e|\.))|\.(?:%0[01]|\?)?|\?\.?|0x2e){2}(?:\x5c|(?:%(?:c(?:0%(?:[2aq]f|5c|9v)|1%(?:[19p]c|8s|af))|2(?:5(?:c(?:0%25af|1%259c)|2f|5c)|%46|f)|(?:(?:f(?:8%8)?0%8|e)0%80%a|bg%q)f|%3(?:2(?:%(?:%6|4)6|F)|5%%63)|u(?:221[56]|002f|EFC8|F025)|1u|5c)|0x(?:2f|5c)|\/))," msg:'Path Traversal Attack (/../)',"," severity:'CRITICAL',"
ARGS,"^(?i:file|ftps?|https?):\/\/(?:\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})"," msg:'Possible Remote File Inclusion (RFI) Attack: URL Parameter using IP Address',"," severity:'CRITICAL',"
QUERY_STRING|REQUEST_BODY,(?i)(?:\binclude\s*\([^)]*|mosConfig_absolute_path|_CONF\[path\]|_SERVER\[DOCUMENT_ROOT\]|GALLERY_BASEDIR|path\[docroot\]|appserv_root|config\[root_dir\])=(?:file|ftps?|https?):\/\/," msg:'Possible Remote File Inclusion (RFI) Attack: Common RFI Vulnerable Parameter Name used w/URL Payload',"," severity:'CRITICAL',"
ARGS,^(?i:file|ftps?|https?).*?\?+$," msg:'Possible Remote File Inclusion (RFI) Attack: URL Payload Used w/Trailing Question Mark Character (?)',"," severity:'CRITICAL',"
ARGS,^(?i:file|ftps?|https?)://(.*)$," msg:'Possible Remote File Inclusion (RFI) Attack: Off-Domain Reference/Link',"," severity:'CRITICAL',"
REQUEST_COOKIES|!REQUEST_COOKIES:/__utm/|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*,(?:;|\{|\||\|\||&|&&|\n|\r|\$\(|\$\(\(|`|\${|<\(|>\(|\(\s*\))\s*(?:{|\s*\(\s*|\w+=(?:[^\s]*|\$.*|\$.*|<.*|>.*|\'.*\'|\," msg:'Remote Command Execution: Unix Command Injection',"," severity:'CRITICAL',"
REQUEST_COOKIES|!REQUEST_COOKIES:/__utm/|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*,(?:;|\{|\||\|\||&|&&|\n|\r|\$\(|\$\(\(|`|\${|<\(|>\(|\(\s*\))\s*(?:{|\s*\(\s*|\w+=(?:[^\s]*|\$.*|\$.*|<.*|>.*|\'.*\'|\," msg:'Remote Command Execution: Unix Command Injection',"," severity:'CRITICAL',"
REQUEST_COOKIES|!REQUEST_COOKIES:/__utm/|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*,"(?i)(?:;|\{|\||\|\||&|&&|\n|\r|`)\s*[\(,@\'\"," msg:'Remote Command Execution: Windows Command Injection',"," severity:'CRITICAL',"
REQUEST_COOKIES|!REQUEST_COOKIES:/__utm/|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*,"(?i)(?:;|\{|\||\|\||&|&&|\n|\r|`)\s*[\(,@\'\"," msg:'Remote Command Execution: Windows Command Injection',"," severity:'CRITICAL',"
REQUEST_COOKIES|!REQUEST_COOKIES:/__utm/|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*,(?:\$(?:\((?:\(.*\)|.*)\)|\{.*\})|[<>]\(.*\))," msg:'Remote Command Execution: Unix Shell Expression Found',"," severity:'CRITICAL',"
REQUEST_COOKIES|!REQUEST_COOKIES:/__utm/|REQUEST_COOKIES_NAMES|ARGS_NAMES|ARGS|XML:/*,(?:^|=)\s*(?:{|\s*\(\s*|\w+=(?:[^\s]*|\$.*|\$.*|<.*|>.*|\'.*\'|\," msg:'Remote Command Execution: Direct Unix Command Execution',"," severity:'CRITICAL',"
